concept,component,best_val_loss,llm_score,llm_label,llm_prior_art,llm_reasoning,registry_score,registry_label,agreement
Enable TF32,Init / Architecture,3.7245,1,KNOWN,https://pytorch.org/docs/stable/notes/cuda.html#tensorfloat-32-tf32,Enabling TF32 in PyTorch is a well-documented and widely used technique for accelerating training on NVIDIA Ampere and newer GPUs. The PyTorch documentation explicitly describes how to enable it.,1,Known,True
Exclude from Weight Decay,Embedding,3.7008,1,KNOWN,https://arxiv.org/abs/1711.05101,"Excluding embeddings from weight decay is a standard practice in training language models, as described in the original Transformer paper and many subsequent works. This prevents over-regularization of the embedding layers.",1,Known,True
Expanded Value Head,Attention,3.7802,2,KNOWN-VARIANT,none,"While not exactly the same, the idea of varying the dimension of the value matrix in attention mechanisms has been explored. This is a variant of techniques that manipulate the attention mechanism's dimensions for performance or capacity reasons.",2,Known-variant,True
Extended Warmup,LR Schedule,3.7352,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","Using a warmup period for the learning rate is a standard technique in Transformer training, introduced in the original Transformer paper. The proposed change is simply adjusting the length of this warmup period, which is a hyperparameter tuning exercise.",1,Known,True
Fast Gelu,MLP / Activation,3.7238,1,KNOWN,"Gaussian Error Linear Units (GELUs) by Dan Hendrycks and Kevin Gimpel (2016), GPT-2 paper","The fast GELU approximation using tanh is a well-known alternative to the exact GELU, particularly used in GPT-2 and BERT. The original GELU paper and GPT-2 paper both discuss and utilize this approximation.",2,Known-variant,False
"Fewer Heads, Larger Dim",Attention,3.7125,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)",The idea of varying the number of attention heads while keeping the embedding dimension constant is a direct consequence of the multi-head attention mechanism described in the original Transformer paper. The trade-off between the number of heads and the head dimension is a fundamental aspect of the architecture.,1,Known,True
Foreach AdamW,Optimizer,3.7019,1,KNOWN,torch.optim.AdamW documentation,"The `foreach` argument in `torch.optim.AdamW` is a standard feature of the PyTorch optimizer, designed to improve performance. It's a well-documented and established optimization technique within the PyTorch framework.",1,Known,True
Fused AdamW,Optimizer,3.7,1,KNOWN,https://pytorch.org/docs/stable/generated/torch.optim.AdamW.html,Fused AdamW is a well-known optimization available directly in PyTorch. The documentation explicitly mentions the `fused` argument for enabling the fused implementation.,1,Known,True
GPT-2 Initialization,Init / Architecture,3.7103,1,KNOWN,GPT-2 paper,The GPT-2 paper explicitly describes using a normal distribution with a standard deviation of 0.02 for initializing the weights of linear layers. This modification simply corrects the NanoGPT implementation to align with the original paper's specifications.,1,Known,True
Gradient Clipping by Value,Init / Architecture,3.7071,1,KNOWN,"Pascanu, Razvan, Tomas Mikolov, and Yoshua Bengio. ""On the difficulty of training recurrent neural networks."" International conference on machine learning. PMLR, 2013.","Gradient clipping by value is a standard technique for stabilizing training, especially in recurrent neural networks, and is described in the cited paper.",1,Known,True
Grouped Query Attention,Attention,3.7052,1,KNOWN,"Ainslie, J., et al. ""GQA: Training Generalized Query-Key Value Models for Next-Generation Video Understanding."" *ICML*. 2023.",Grouped-query attention (GQA) is a known technique to reduce the memory bandwidth requirements of attention layers. The description and implementation details align with the original GQA paper.,1,Known,True
Head-wise RMSNorm (NormFormer),Normalization,3.7563,1,KNOWN,"Shleifer, R., He, R., Zhang, J., & Rush, A. M. (2021). NormFormer: Improved Transformer Generalization with Adaptive Normalization. arXiv preprint arXiv:2110.09456.","The description explicitly states inspiration from NormFormer, which applies normalization to the output of the attention heads. The proposed modification directly implements this concept.",1,Known,True
Increase Learning Rate To E-,Init / Architecture,3.751,1,KNOWN,"See empirical results in Attention is All You Need (Vaswani et al., 2017) and subsequent works on Transformer training.","Increasing the learning rate is a standard hyperparameter tuning technique for training neural networks, including Transformers. The optimal learning rate is often model and dataset dependent.",1,Known,True
Input Jitter,Init / Architecture,3.7087,1,KNOWN,"Bishop, C. M. (1995). Training with noise is equivalent to Tikhonov regularization. Neural computation, 7(5), 1085-1092.","Adding Gaussian noise to the input embeddings is a form of input perturbation, which is a well-known regularization technique equivalent to Tikhonov regularization. This has been explored extensively in the literature.",2,Known-variant,False
Inverse Sqrt Schedule,LR Schedule,3.7051,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)",The inverse square root learning rate schedule is a standard technique introduced in the original Transformer paper. The proposed modification directly implements this schedule.,1,Known,True
Label Smoothing,Init / Architecture,3.8198,1,KNOWN,"Christian Szegedy, Vincent Vanhoucke, Sergey Ioffe, Jon Shlens, Zbigniew Wojna. Rethinking the Inception Architecture for Computer Vision. CVPR 2016.","Label smoothing is a well-known regularization technique, particularly in image classification and language modeling. The described implementation directly applies the standard label smoothing to the cross-entropy loss.",1,Known,True
LayerScale,Normalization,3.76,1,KNOWN,"Going Deeper with Image Transformers (Touvron et al., 2021)","LayerScale is directly taken from the ""Going Deeper with Image Transformers"" paper. The description and code changes align perfectly with the original implementation.",1,Known,True
Learnable Attention Temperature,Attention,3.7133,1,KNOWN,"Vaswani et al. (2017) Attention is All You Need. The learnable temperature is a form of learned scaling in the attention mechanism, which is a common practice.",The use of a learnable temperature (scaling factor) in the attention mechanism is a standard technique to allow the model to adjust the attention distribution. This is a direct application of the scaling factor introduced in the original Transformer paper.,1,Known,True
Learnable RMSNorm,Normalization,3.6976,1,KNOWN,"Root Mean Square Layer Normalization, Zhang and Sennrich, 2019","The proposed modification is a standard implementation of RMSNorm with a learnable scaling parameter, as described in the original RMSNorm paper. The description and code changes align directly with the standard RMSNorm formulation.",1,Known,True
Mish Activation,MLP / Activation,3.7614,1,KNOWN,https://arxiv.org/abs/1908.08681,Mish activation is a well-known activation function. The original paper introducing Mish activation is readily available.,1,Known,True
Multi-Query Attention,Attention,3.952,1,KNOWN,"Shazeer, Noam, et al. ""Fast transformer decoding: One head is all you need."" arXiv preprint arXiv:1911.02150 (2019).","The proposed modification implements Multi-Query Attention (MQA), a well-known technique for reducing memory bandwidth in Transformers by sharing key and value heads across all query heads. The original paper describing MQA is cited above.",1,Known,True
Orthogonal Initialization,MLP / Activation,3.7185,1,KNOWN,"Saxe, A. M., McClelland, J. L., & Ganguli, S. (2014). Exact solutions to the nonlinear dynamics of learning in deep linear neural networks. arXiv preprint arXiv:1312.6184.","Orthogonal initialization is a well-known technique for training deep neural networks, particularly to address vanishing/exploding gradients. The paper by Saxe et al. (2014) is a seminal work on this topic.",1,Known,True
Output Logit Scaling,Init / Architecture,3.7007,2,KNOWN-VARIANT,"Temperature scaling in classification (e.g., ""On Calibration of Modern Neural Networks"" by Guo et al.)",Temperature scaling is a well-known technique for calibrating neural network outputs. This modification is a learnable version of temperature scaling applied to the logits of a language model.,1,Known,False
Parallel Blocks,Normalization,3.763,1,KNOWN,"Transformer Architecture: Attention Is All You Need (Vaswani et al., 2017). Also, see Parallel Residual Networks (Wang et al., 2020) for a more explicit exploration of parallel paths.","This is a standard parallelization of the attention and MLP blocks within a Transformer block, a common architectural choice. Parallel Residual Networks explore this concept in more detail.",1,Known,True
Polynomial LR Decay,LR Schedule,3.6924,1,KNOWN,https://arxiv.org/abs/1705.03122,"Polynomial learning rate decay is a standard learning rate schedule. The cited paper (Attention is All You Need) uses polynomial decay with power=1, but the general form is well-known.",1,Known,True
Post-Ln Architecture,Normalization,3.7732,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","The description clearly outlines switching from Pre-LN to Post-LN, which is the original Transformer architecture as described in the original paper. The provided equation and code changes directly reflect this well-known architectural choice.",1,Known,True
QK-Norm,Normalization,3.7139,1,KNOWN,https://arxiv.org/abs/2302.05436,"QK Norm is described in the paper ""Scaling Transformer to 1M Tokens and Beyond with RMT"" (Su et al., 2023). It applies normalization to the queries and keys before the attention dot product.",1,Known,True
RMSNorm with Bias,Normalization,3.7406,2,KNOWN-VARIANT,none,"Adding a bias term to LayerNorm or RMSNorm is a relatively straightforward extension. While I cannot find a specific paper that explicitly adds a bias to RMSNorm, it's a minor modification to a well-known normalization technique.",2,Known-variant,True
Re-introduce Linear Biases,Attention,3.7323,1,KNOWN,"GPT-2 paper (Radford et al., 2019) and many other earlier neural network architectures.","Using biases in linear layers is a standard practice in neural networks, including the original GPT-2 architecture. Removing biases is a more recent trend, so re-introducing them is simply reverting to a well-established technique.",2,Known-variant,False
ReGLU MLP,MLP / Activation,3.7266,1,KNOWN,https://arxiv.org/abs/2002.05202,"ReGLU is a known activation function, introduced in the GLU variants paper. The proposed modification is a direct application of ReGLU within the MLP of a Transformer.",1,Known,True
ReLU Activation,MLP / Activation,3.7297,1,KNOWN,"ReLU: Rectified Linear Unit (Nair & Hinton, 2010)",Replacing GELU with ReLU is a very common and well-known technique. ReLU is one of the most fundamental activation functions in deep learning.,1,Known,True
Reduced Weight Decay,Optimizer,3.704,1,KNOWN,https://arxiv.org/abs/1711.05101,"Weight decay is a standard regularization technique, and tuning its value is common practice. The original AdamW paper discusses the importance of weight decay.",1,Known,True
Remove Residual Scaling,Positional Encoding,3.7755,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","The manual residual scaling is an attempt to stabilize training, but the standard practice in Transformers is to rely on proper initialization (weight scaling) to achieve this. Removing the manual scaling and relying on initialization is the standard approach described in the original Transformer paper.",2,Known-variant,False
Residual Dropout,Normalization,3.7424,1,KNOWN,"Dropout: A Simple Way to Prevent Neural Networks from Overfitting (Srivastava et al., 2014)",Applying dropout to the residual connections of a Transformer block is a standard regularization technique. The original Dropout paper covers this concept.,1,Known,True
Residual Scaling,MLP / Activation,3.7149,1,KNOWN,"GPT-2, Megatron-LM",Scaling the residual projection weights by a factor related to the number of layers is a standard technique used in GPT-2 and Megatron-LM to stabilize training and improve performance in deep Transformer models. The specific scaling factor of `1/sqrt(2 * n_layer)` is consistent with these prior works.,1,Known,True
Rotary Positional Embeddings (RoPE),Attention,3.69,1,KNOWN,"Jianlin Su, Yu Lu, Shengfeng Pan, Bo Wen, Yunfeng Liu. RoFormer: Enhanced Transformer with Rotary Position Embedding. arXiv:2104.09864",Rotary Positional Embeddings (RoPE) are a well-known technique introduced in the RoFormer paper. The description aligns directly with the original RoPE implementation.,1,Known,True
Sandwich Norm,Normalization,3.7373,2,KNOWN-VARIANT,"LayerNorm (Ba, Kiros, Hinton, 2016)","Adding a normalization layer after the MLP block is a variant of post-normalization. While the specific placement and RMSNorm choice are details, the overall concept is a known variation of standard normalization techniques in Transformers.",1,Known,False
Scale Embeddings By $\Sqrt{D {Model}}$,Embedding,3.7677,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)",Scaling embeddings by the square root of the embedding dimension is a standard practice described in the original Transformer paper to control variance and ensure proper signal propagation.,1,Known,True
Scale Input Embeddings,Positional Encoding,3.7554,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","Scaling the input embeddings by the square root of the embedding dimension is a standard practice in Transformer architectures, as described in the original Transformer paper (Attention is All You Need).",1,Known,True
Separate Embedding Learning Rate,Embedding,3.832,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","Using different learning rates for different parameter groups is a standard practice in deep learning, and specifically applying a higher learning rate to embeddings has been explored in the context of Transformers and other models. The original Transformer paper mentions different learning rates for different layers.",2,Known-variant,False
SiLU Activation,MLP / Activation,3.7749,1,KNOWN,https://arxiv.org/abs/1702.03118,SiLU (Swish) activation is a well-known activation function. The paper 'Searching for Activation Functions' introduces and evaluates SiLU.,1,Known,True
Sinusoidal Positional Embeddings,Positional Encoding,4.2364,1,KNOWN,"Vaswani et al., 2017 (Attention is All You Need)","Using fixed sinusoidal positional embeddings is the original approach from the Transformer paper. The modification simply freezes these embeddings, which is a direct application of the original technique.",1,Known,True
Small Initialization,Init / Architecture,3.7702,1,KNOWN,"Glorot & Bengio (2010) - Understanding the difficulty of training deep feedforward neural networks. Although this paper doesn't explicitly state `std=0.01`, it discusses the importance of proper initialization and variance scaling to prevent exploding/vanishing gradients, which is the motivation behind smaller initialization.","Reducing the initialization scale is a common technique to improve training stability, especially in deep networks like Transformers. The core idea of controlling initial variance is well-established.",1,Known,True
Softmax Attention,Attention,3.8528,2,KNOWN-VARIANT,"Similar to techniques used in sparse attention and routing transformer variants, and related to the use of learnable bias terms to represent 'no attention'.","Adding a zero column to the attention logits before softmax is a variant of techniques used to encourage sparsity in attention or to represent a 'no attention' state. While not exactly the same as existing methods, the core idea of introducing a sink to allow the model to effectively ignore certain tokens is present in prior work.",1,Known,False
Squared ReLU,MLP / Activation,3.7133,1,KNOWN,Primer: https://arxiv.org/abs/2109.08668,"Squared ReLU activation is explicitly mentioned and used in the Primer paper, as the IDEA TEXT itself acknowledges.",1,Known,True
Standard LayerNorm,Normalization,3.7242,1,KNOWN,"Ba, J. L., Kiros, J. R., & Hinton, G. E. (2016). Layer normalization. arXiv preprint arXiv:1607.06450.",Replacing RMSNorm with LayerNorm is a direct application of the original LayerNorm paper. LayerNorm is a standard normalization technique in deep learning.,1,Known,True
SwiGLU MLP,MLP / Activation,3.7007,1,KNOWN,"Shazeer, Noam, et al. ""GLU variants improve transformer."" arXiv preprint arXiv:2002.05202 (2020).","SwiGLU is a well-known activation function, particularly within the context of Transformer architectures. The proposed implementation aligns with standard SwiGLU usage as described in the original paper.",1,Known,True
Tanh Approximation For Gelu,MLP / Activation,3.7229,1,KNOWN,"GPT-2 paper (Radford et al., 2019) and GPT-3 paper (Brown et al., 2020)","Using the tanh approximation for GELU is a well-known optimization technique, especially for faster GPU computation, and was explicitly used in the original GPT-2 and GPT-3 implementations. The code change directly reflects this known practice.",1,Known,True
Token Shifting,Init / Architecture,3.7156,2,KNOWN-VARIANT,Similar to techniques used in recurrent neural networks and convolutional neural networks to incorporate temporal context. Also related to techniques like positional encoding and relative positional embeddings.,The core idea of mixing embeddings from adjacent time steps to inject temporal information is a common practice. The specific implementation of rolling and mixing is a minor variation on existing methods for incorporating temporal context.,2,Known-variant,True
Untied Embedding Weights,Positional Encoding,3.7214,1,KNOWN,"Press, Ofer, and Lior Wolf. ""Using the output embedding to improve language models."" arXiv preprint arXiv:1608.05859 (2016).","Untying embedding weights is a well-known technique in language modeling, often used to increase model capacity and improve performance. The cited paper is one of the earliest and most influential works on this topic.",1,Known,True
Vocabulary Padding (50304),Embedding,3.6974,1,KNOWN,"General practice in deep learning, no specific paper","Padding vocabulary sizes to multiples of powers of 2 (or other architecture-dependent alignment factors) is a common optimization technique to improve memory alignment and hardware utilization (e.g., Tensor Cores). This is a standard practice and doesn't require a specific citation.",1,Known,True
WSD Schedule,LR Schedule,3.7122,2,KNOWN-VARIANT,Cosine annealing with warm restarts (SGDR),"The proposed WSD schedule is a variant of learning rate schedules with warmups and decays, similar to SGDR. The 'stable' phase is the main difference, but it's a minor modification to the overall concept.",1,Known,False
Xavier Uniform Initialization,Init / Architecture,3.7085,1,KNOWN,"Glorot, X., & Bengio, Y. (2010). Understanding the difficulty of training deep feedforward neural networks. In Proceedings of the thirteenth international conference on artificial intelligence and statistics (pp. 249-256).","Xavier initialization (also known as Glorot initialization) is a standard and well-established technique for initializing neural network weights, particularly effective for layers with ReLU-like activations.",1,Known,True
Z-Loss Regularization,Init / Architecture,3.7337,1,KNOWN,https://arxiv.org/abs/2204.02311,"The proposed Z-Loss regularization is directly taken from the PaLM paper (Chowdhery et al., 2022). The implementation aligns with the description in the paper.",1,Known,True
Zero-Init Projections,Init / Architecture,3.7172,1,KNOWN,"He, Kaiming, et al. ""Delving deep into rectifiers: Surpassing human-level performance on imagenet classification."" Proceedings of the IEEE international conference on computer vision. 2015.","Zero-initialization of residual connections is a well-known technique to ease training of deep networks, particularly those with residual connections. The original ResNet paper discusses initialization strategies to ensure the residual branch starts as an identity function.",1,Known,True
